男	男 ♂
雄性	雄性 ♂
女	女 ♀
雌性	雌性 ♀
双性	双性 ⚥
相交	相交 ⚭
相切	相切 ⚮
相离	相离 ⚯
音调	音调 ♭ ♮ ♯
重点	重点 ※
四边形	四边形 ⎕ ⏥
平行四边形	平行四边形 ⏥
六边形	六边形 ⎔
度	度 ° ℃ ℉
分	分 ′
秒	秒 〃 ㎳ ㎲ ㎱ ㎰
黑桃	黑桃 ♠ ♤
红桃	红桃 ♥ ♡
方片	方片 ♦ ♢
梅花	梅花 ♣ ♧
共产党	共产党 ☭
党	党 ☭
共产主义	共产主义 ☭
国民党	国民党 ❂
社会主义核心价值观	社会主义核心价值观 富强、民主、文明、和谐、自由、平等、公正、法治、爱国、敬业、诚信、友善 富强 民主 文明 和谐 自由 平等 公正 法治 爱国 敬业 诚信 友善
八荣八耻	八荣八耻 社会主义荣辱观 以热爱祖国为荣，以危害祖国为耻；以服务人民为荣，以背离人民为耻；以崇尚科学为荣，以愚昧无知为耻；以辛勤劳动为荣，以好逸恶劳为耻；以团结互助为荣，以损人利己为耻；以诚实守信为荣，以见利忘义为耻；以遵纪守法为荣，以违法乱纪为耻；以艰苦奋斗为荣，以骄奢淫逸为耻。
质量	质量 ㎏ ㎎ ㎍
克	克 ㎏ ㎎ ㎍
距离	距离 ㎞ ㎝ ㎜ ㎛ ㎚ ㎙
长度	长度 ㎞ ㎝ ㎜ ㎛ ㎚ ㎙
米	米 ㎝ ㎞ ㎜ ㎙ ㎚ ㎛
弧度	弧度 ㎭ ㎮ ㎯
时间	时间 ㎳ ㎲ ㎱ ㎰
面积	面积 ㎢ ㎡ ㎠ ㎟
体积	体积 ㎥ ㎦ ㎤ ㎣ ㎕ ㎖ ㎗ ㎘
电流	电流 ㎀ ㎁ ㎂ ㎃ ㎄
安	安 ㎀ ㎁ ㎂ ㎃ ㎄
安培	安培 ㎀ ㎁ ㎂ ㎃ ㎄
容量	容量 ㎕ ㎖ ㎗ ㎘
升	升 ㎖ ㎕ ㎗ ㎘
频率	频率 ㎐ ㎑ ㎒ ㎓ ㎔
赫兹	赫兹 ㎐ ㎑ ㎒ ㎓ ㎔
速度	速度 ㎧
加速度	加速度 ㎨
压强	压强 ㎩ ㍱ ㎪ ㎫ ㎬
